tipo_logradouro;logradouro;bairro;numero;complemento;loteamento
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.072,00;#NOME?;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.072,00; - C FUNDOS;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.090,00;#NOME?;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.092,00;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.102,00;;
RUA;25 DE MARCO;CAXAMBU VELHO;28;;
RUA;25 DE MARCO;CAXAMBU VELHO;22;;
RUA;25 DE MARCO;CAXAMBU VELHO;22; - FUNDOS ;
RUA;25 DE MARCO;CAXAMBU VELHO;38;;ISENTO MOLESTIA INCURAVEL
RUA;25 DE MARCO;CAXAMBU VELHO;52;;
RUA;25 DE MARCO;CAXAMBU VELHO;60;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.753,00;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.765,00;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.717,00;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.707,00;#NOME?;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.697,00;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.601,00;;
RUA;25 DE MARCO;CAXAMBU VELHO;67;;
RUA;25 DE MARCO;CAXAMBU VELHO;57;;
RUA;25 DE MARCO;CAXAMBU VELHO;57;#NOME?;
RUA;25 DE MARCO;CAXAMBU VELHO;49;;
RUA;25 DE MARCO;CAXAMBU VELHO;39;;
RUA;25 DE MARCO;CAXAMBU VELHO;31;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.122,00;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.122,00; - FUNDOS ;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.140,00; - A FUNDOS;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.140,00; - FRENTE;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.136,00;#NOME?;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.146,00;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.146,00;#NOME?;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.148,00;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.162,00;;
RUA;12  DE OUTUBRO;CAXAMBU VELHO;16;;ISENTO MOLESTIA INCURAVEL
RUA;12  DE OUTUBRO;CAXAMBU VELHO;38;;
RUA;12  DE OUTUBRO;CAXAMBU VELHO;38;;
RUA;12  DE OUTUBRO;CAXAMBU VELHO;50;;
RUA;12  DE OUTUBRO;CAXAMBU VELHO;62;;
RUA;12  DE OUTUBRO;CAXAMBU VELHO;78;;
RUA;13 DE MAIO;CAXAMBU VELHO;172;;
RUA;13 DE MAIO;CAXAMBU VELHO;172;A;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;1.003,00;;
AV.;EVARISTO SA GUEDES;CAXAMBU VELHO;25;;
RUA;12  DE OUTUBRO;CAXAMBU VELHO;79;;
RUA;12  DE OUTUBRO;CAXAMBU VELHO;69;;
RUA;12  DE OUTUBRO;CAXAMBU VELHO;69;A RESIDENCIA FUNDOS;
RUA;12  DE OUTUBRO;CAXAMBU VELHO;63;;
RUA;12  DE OUTUBRO;CAXAMBU VELHO;47;;
RUA;12  DE OUTUBRO;CAXAMBU VELHO;37;;
RUA;12  DE OUTUBRO;CAXAMBU VELHO;;;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.172,00;A RESIDENCIA;
RUA;12  DE OUTUBRO;CAXAMBU VELHO;1.172,00;C RESIDENCIA MENOR;
AV.;ANTONIO FERREIRA DA SILVA;CAXAMBU VELHO;1.192,00;;
